address,display_name,builder_score
0xb5984127F94fE8649d9d9c9e84907f70C185aA5e,,
0x329Ab4073a799E7C529aD216c40E74608E87e56a,,
0x302345379FF40F618A704EF07DBf251e721f7C40,,
0x004c7A6802208412c2060853a5BB12eF57c28fb0,,
0xf8529d1fE0C5328BA152B98670f906CB4478e94c,,
0x5e5351219b9b9da69744A43101b9395BAdC9a2e9,Neventheboss.base.eth,148
0x123CB34636cCe955D7dFA64EE1c1072F49D44800,,
0xe712B3Cb421942e71Cdf3C443eE1935553Ce92bA,,
0xAAAD294dED344cA8fB4c1E93C1C0104e3EEE592A,,
0xbd4558AdC01fa9a2df62e73026e0EA87530F21dF,,
0x56209235A481a182e7e70528159e726518a0Cd07,,
0xEB0247385772812E6d5Da237724Cf28d400b2357,,
0x4c336DD5E6bf2998CD9dEd78ECe1f0152d5F5B89,,
0xF6E548b1039F9F6A96bb55a8da42Daa3a0AcCaf1,,
0x3F53a590C0713e5f638f36a0faC77d2d0280EEE0,,
0xEc25cb761779D8A3aB6dd20918e021F83046cc37,,
0x71830F324859646E6267e2A5ae554f199F6879a5,,
0x6B2eBFe3FE5c5B84746105421de93Df383b222E8,treble.base.eth,55
0x8668D1F4D232CF4dAD1491Af32F68EFeF301bB63,Francisco Rebelo,11
0x537265E3Fa15C839E445A483e8428e2Dd627d00c,Gabriel Ayuso,22
0xA439a408A8E4f1D07757a21aD0858f62eCE0a77a,,
0x9CF258240ea4c992E8c88809527A84Fe0d128Ed1,,
0xEBaB193946849e562CC955F4225d6272A7F938b2,,
0xCA57e6C6F1E0Aa8feB6D9AD9dd33eb2B0caa74CC,,
0xA85CcB04dbEE5A6Ce430dfeF2BFD982b68489483,,
0x895c5A67168ab29D5E8E96a55f933ad7C948C612,simo,174
0xF8f13662CDE10f8294507787c4ED051fe0c58D8b,,
0x662d5d79849113A5403Af776210307a7c82a5267,Carlos,63
0x2ba0450e35D700E8b6Fa3f41047440cE21641fF3,,
0xb2757f6516e68Db9e79304B0a21D3eE96186B971,,
0xEB32E699a3F6A72B6968B99d94bdb0015dee0e87,,
0xBd82A4664C870832b88775ed9bADB739868da27B,,
0xB17b3e7910AF9d232Cb683C083eF73c34521FC8A,dataDude ☕️,112
0xCd2Ea4E019491e00621E7f834B43d1d37aE53A76,,
0x052D1f06cC98AAe6c4D2e9D06c286143E22dB612,Karan,191
0x324e9E13dd19528D0F390201923d17c4B7E94462,Panos,176
0x52d51523a25cE8CBCFe3103218942bdA098679d9,,
0x1dA45683bd3ccd6f8308050d0D99c1ee7F761E5f,,
0x6A0f84c3098803E1972c7DAED163a7A90621DF7F,,
0x35F6eCC22c1a70fF4F91bdC0476359FB8aCd13aE,,
0xE47336A013dbF163AbBDeD39d7Dfe4D76AB41F22,,
0xF78cD306b23031dE9E739A5BcDE61764e82AD5eF,Ronan,54
0xb4A996956856feE7a3C3DCa4b384E4ef26a7Bc25,jesse,22
0x4A105DEc8a3518f7Fc4e47Da09ffFc7FB6adeB15,,
0xc3FfD59Bd2ab6FB4187672723276D953142FDdde,Philippe Dumonet,57
0x4b565bD1bDB4D35e85dB592F43a3527894f5f90C,,
0xac5b774D7a700AcDb528048B6052bc1549cd73B9,briandoyle81 🌊🎩,259
0xEf181AC7f9F472b2152Cb404205D6c63de9ECE32,,
0x974A6e338a397e52E69A50dAEa131F7FDFED4332,Jabyl,57
0x779aE63Ec87aA1764802C2b0612fc9bBF2C16E64,,
0xF417ACe7b13c0ef4fcb5548390a450A4B75D3eB3,​woj,78
0x1358155a15930f89eBc787a34Eb4ccfd9720bC62,limone.eth 🍋,306
